ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Gst ( goods and service tax ) return type,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) payers registered before due date,Gst ( goods and service tax ) payers registered after due date
148,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201806,"September, 2018",GSTR-3,79070,54882,17302
149,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-1,30015,6485,12604
150,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201807,"October, 2018",GSTR-3,80106,52335,21052
151,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-1,29849,8143,11067
152,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201808,"November, 2018",GSTR-3,81318,54809,18823
153,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-1,82700,13152,59827
154,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018",GSTR-3,82700,54247,20425
155,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-1,29226,8682,10752
156,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201810,"January, 2019",GSTR-3,84114,50257,25391
157,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-1,28879,8580,10901
158,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019",GSTR-3,85293,61666,14872
159,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-1,86666,12158,62959
160,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",201812,"March, 2019",GSTR-3,86666,47265,30168
161,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-1,37394,7311,10716
162,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201901,"April, 2019",GSTR-3,87028,54886,21838
163,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-1,35683,7347,10702
164,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,87431,58269,18952
165,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-1,88064,43206,32744
166,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201903,"June, 2019",GSTR-3,88064,59218,18520
282,India,3,Punjab,2019,"Financial Year (Apr - Mar), 2019",201902,"May, 2019",GSTR-3,307464,233708,47801
167,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-1,32605,7038,11293
168,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201904,"July, 2019",GSTR-3,89185,63275,15398
169,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-1,31156,7697,10728
170,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019",GSTR-3,89648,59229,19949
171,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-1,89912,35435,42523
172,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201906,"September, 2019",GSTR-3,89912,53664,26169
173,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-1,29485,6730,11955
174,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",201907,"October, 2019",GSTR-3,90006,58497,21757
